region_name,competition_year,id,name,short_desc,long_desc,eligibility,video_url,created_at,updated_at,sponsors,entries
New Zealand,2021,262,Digital Future – New Zealand,"How can New Zealand lead its effort to build Digital Skills, Education and Employment?
","The global health crisis has accelerated digitalisation by at least a decade. For New Zealand to be a world leading digital economy, there’s a need to build digital technology skills, develop a tech start-up ecosystem that will create more employment opportunities in the economy. 

We want you to re-imagine learning and skills programs that will lead to a thriving digital start-up ecosystem in New Zealand. While technology is changing our lives for the better, it’s also augmenting how we work, replacing repetitive tasks performed by humans and allowing people the opportunity to work in areas that leverage creative and cognitive skills. 

According to research from NZTech, the global health crisis has pushed New Zealand’s digital skills shortage to crisis point. The organisation’s digital skill survey found that the pandemic has caused a severe skills shortage of digital skills in New Zealand and there could be as many as 10,000 open roles that companies are struggling to fill. 

For New Zealand to be a world leading digital economy it’s crucial for it to re-imagine its approach to education, learning and employment that will accelerate digital skills. An important area to consider while working on this challenge is the need to build a culture that encourages New Zealanders to embrace digital skills. 

•	How can we enable workers today and tomorrow possess the skills to succeed in our future? 
•	How can we prepare future students for the jobs of tomorrow? 
•	How can we identify and encourage the next generation of technologists who may need help to realise those future opportunities? 

Everything from business operations to consumer choices to employment opportunities have changed due to the global health crisis. The impact of digital skills shortage in our labour market is significantly impacting our country’s economic output. How can we build net-new talent and build a sustainable ecosystem of job creation via New Zealand digital start-up and enable talent that can support such an ecosystem.

### Additional Information:

**Additional links:**

IT Brief New Zealand (12 August 2021): [NZ’s digital skills shortage reaches crisis point: How to attract and retain talent during tough times](https://itbrief.co.nz/story/nz-s-digital-skills-shortage-reaches-crisis-point-how-to-attract-and-retain-talent-during-tough-times)

NZ Tech: [New Zealand facing a digital skills crisis](https://nztech.org.nz/2021/07/05/new-zealand-facing-a-digital-skills-crisis/)

**Image credit:** Infosys",Must use at least one open dataset.,"",2021-08-20 11:17:37 +1000,2021-08-20 11:19:29 +1000,"[""Infosys""]",2
New South Wales,2021,251,Emerging population trends and post-pandemic planning,"What is the impact of COVID-19 on reshaping population growth and distribution across NSW?
","Much established population data is backward looking, and only available well after the events that may alter it. Whilst, under ‘normal’ conditions, there is inertia in much population change; the last two years have demonstrated that sizable shocks can occur.

What does a shock, such as the COVID-19 pandemic mean for projecting future population change. Can pre-existing trends be expected to reoccur or can ‘early-warning’ signals of emerging trends be identified while they are still developing?

**More information:**

We know the 2021 Census is going to be a snapshot of a very turbulent time and alternative data is needed to better identify contemporary population change (both growth and decline). 

The modelling that the population team does is around where people live and the communities they live in. Household sizes are changing all the time, but how will a shock such as the COVID-19 pandemic influence household size. For instance, has the pandemic resulted in more young people who have come from regional areas to metropolitan areas for study or work, move back home for a cheaper and safer lifestyle. If this is occurring, what impact does this have on household sizes, are they getting bigger? What does this mean for infrastructure and service delivery in regional communities?

Considering the uncertainty around the impacts of the pandemic and what this means for the future, how can we automate and produce a synthetic resource to be able to track better data? Has COVID-19 reshaped the population in NSW? 

How do we show the impact it has on communities within NSW? 

How can NSW Government help with the change within local communities, especially regional and rural communities?
","","",2021-08-19 01:41:36 +1000,2021-08-20 00:51:37 +1000,"[""NSW Department of Planning, Industry and Environment""]",6
New Zealand,2021,276,Engaging with SmartView-Go: Encouraging interaction between citizens and their city,"The city council wants to encourage higher interaction between citizens of how people feel about the city, share education on their constraints on resources, and provide a platform to reward citizen action.
","The council has limited resources and wants to spend money and time on larger projects, so how do we reward a citizen taking the initiative on reporting and solving smaller city issues?

The goal is to allow the Christchurch City Council to engage with the public by using an outdoor smartphone app (for example think about how games such as Pokemon-Go, Ingress Prime or others encourage people to go outside).

The council wants to encourage “Active Citizenship”, encouraging the public to identify and report any issues, as well as encouraging citizens to take action on them. The council has limited resources and wants to spend money and time on larger projects, so how do we reward a citizen taking the initiative on smaller reported city issues? For example:

• Cleaning up graffiti
• Removing doggy doo on the footpath
• Picking up rubbish in parks

The council might want to communicate to the public about projects they are undertaking and ask for the public opinion and satisfaction. For example:

• ""You are using a new bike path, how do you like it?""
• ""You pass by a smart rubbish bin which is part of the smart city development and read about the project.""
• ""This tree is an apple tree, come back around May to collect apples.""

This challenge is about creativity and developing the engagement of the council and citizens via a fun app so description and example above are only for inspiration. You can make a difference! 

Build our your ideas for a smartphone app that encourages interaction between citizens and their city and encourages citizen action.

### Additional Information: 

Below are examples of how you might wish to approach this challenge. Please use this as an example only and not as guidance.

**For example:**

ONE - Provide an application that will allow a citizen to report a new issue

a. Added feature to look for reported issues around me, take assignment, allow a photo to be capture before and after, and submit the resolution
b. Added feature to show a citizen their current points level and list of their achievements
c. Allow a feature to share these achievements on social media
d. Display what they can use the points for: rewards list

TWO - Add SnapSendSolve data for Graffiti information issues within the search function

THREE - Provide a feature to read and add a comment on a council area of interest

a. Smart rubbish location, Bike paths, CCC project location, Fruit trees, Drinking fountain, Street Art
","One or more team members must be able to attend and present at the Te Pae Technology Expo in Oct 2021(at their own expense).
","",2021-08-20 15:04:16 +1000,2021-08-21 11:13:27 +1000,"[""Smart Christchurch "", ""UC Business School Te Kura Umanga"", ""Trimble""]",2
Australia,2021,236,Exploring the National Skills Commission’s Australian Skills Classification,"How can the general public learn about and be encouraged to interact with the Australian Skills Classification to identify skills within occupations, identify their own skillsets and identify transferability to other occupations of interest?","The challenge involves exploring how the Australian Skills Classification can be made useful to the general public (including young people, job seekers and those looking for job transitions) for use in identifying existing skill and pathways of transition to occupations of interest.

<br>
# The Australian Skills Classification
<br>

The National Skills Commission (NSC) was established in July 2020, under the National Skills Commissioner Act 2020 and is supported by the Department of Education, Skills and Employment. 

The Australian Skills Classification (the Classification) was released by the NSC as a beta in March 2021. The Classification is a brand new way of categorising skills, and it systematically sets out a structure for and relationships between skills within occupations and across the labour market. 

The Classification currently provides occupation profiles outlining the core competencies, technology tools, and specialist tasks for 600 occupations. The Classification identifies: 
• 10 core competencies: common skills used in all occupations 
• 88 technology tools: a technology, such as software or hardware, associated with a job
• 1925 specialist tasks: detailed work activities required within a job.

The new way of categorising skills and its relationship with occupations can be illustrated in the following example. Sales Assistants is the largest employing occupation in Australia. This occupation requires skills in customer service, processing sales, maintaining product knowledge and monitoring inventories. The Classification allows users to see which other occupations also require these skills. For instance 13 other occupations also perform the task of “Advise customers on the use of goods or services”, including Landscape Architects and ICT Sales Professionals. Sales Assistants also have high competency levels for teamwork and use a variety of software and hardware in their roles, all of which can be seen in the Classification profile for this occupation. 

While training packages and industry organisations have defined certain skill sets for particular occupations, there has been a lack of a broader framework to identify and consistently measure and align skills. Instead, education levels, qualifications and occupations have been used as proxies for skill levels. While skills in individual occupations, qualifications are recognised, there has been a lack of understanding of how bundles of skills combine within occupations and can be transferable across different roles in the labour market.

By categorising skills, and linking them to occupations, the Australian Skills Classification helps people such as job seekers and school leavers make informed decisions about jobs and career choices.

<br>
# The Challenge
<br>

Since the beta launch in March, the current users of the Skills Classification have mainly been industry associations and leaders, training and qualification providers, and policy makers and researchers. The challenge is now to explore how the Skills Classification can be made useful to the general public (including young people, job seekers and those looking for job transitions) for use in identifying existing skills and pathways of transition to occupations of interest. 

This challenge could involve developing a new interface, for example that is better targeted to these demographics with new ways of navigating or other functionality that allows the general public to explore and becoming familiar with using the Classification.
",Participants must use the Australian Skills Classification dataset.,"",2021-08-18 23:39:00 +1000,2021-08-20 00:34:14 +1000,"[""Department of Education, Skills and Employment""]",26
New South Wales,2021,249,Getting parking right: matching car parking rates to accessibility,"How can we make a difference by making ‘accessibility’ measurable?
","We are looking for a way to measure ‘accessibility’ to help us set car parking rates for new development that are more responsive to locational context. 

We want to understand how people use public and active transport, and emerging transport solutions like car share, to meet their transport needs – and where on-site car parking requirements can be reduced as a result.

### Background:

Land use planners are keen to ensure that requirements for car parking provision by new development are appropriate. 

Appropriate levels of car parking provision vary dramatically depending on the type of development and its location. A key factor appears to be the accessibility of the development’s location. A highly-accessible area tends to be thought of as one that is well-connected to key services via active or public transport, and/or to have a high level of access to emerging transport solutions like car share.

Ensuring appropriate levels of car parking can have significant flow-on effects for the broader community – for example:

•	In low-accessibility areas, appropriate car parking can reduce time taken to find, or queue for, parking; this can also reduce the number and duration of traffic jams.
•	In high-accessibility areas, appropriate car parking can encourage use of active and public transport, and result in reduced levels of car use and ownership.

There is currently no reliable way for accessibility to be measured. So, we are looking for a way to measure accessibility that:

•	Can be defined in legislation
•	Can be easily used by anyone, for any location in NSW
•	Enables the setting of clear thresholds – e.g. if a location satisfies a certain threshold for accessibility, a new development would not be required to provide car parking, or could provide it at a lower rate because the people living there are less likely to need to use or own cars.

A way of visualising this measure of accessibility (for example, via a heat map or similar) would also be highly valued. 

Such a measure would provide land use planners with an evidence base for setting the most appropriate car parking requirements for new development. 

In solving this problem, it might be useful to consider:

•	Where are we already seeing reduced dependency on cars? What factors are influencing this? 
•	Where is dependency on cars still high? What factors are influencing this?

Factors might include things like:

•	How long it takes to get to essential services like shops and schools by active (walking, cycling) or public transport
•	Public transport accessibility:
    o	How many routes are available within a certain distance of each location?
    o	How many services do those routes receive at different times of day? 
    o	Is access direct or are service changes needed?
•	The availability and uptake of novel transport solutions like car share

### Additional Information:

**Useful links:**

The following websites may provide some insights into how this problem could be addressed:

•	[Walkscore.com](https://www.walkscore.com/)
•	[AwaP-IC – an open-source GIS tool](https://thud.msd.unimelb.edu.au/tools-and-models/awap-ic-an-open-source-gis-tool-for-measuring-walkable-access) for measuring walkable access
•	London’s [WebCAT](https://tfl.gov.uk/info-for/urban-planning-and-construction/planning-applications/planning-with-webcat) is an example of how another major city has tried to grapple with this issue. WebCAT provides information on London's transport system to the professional planning community; its connectivity assessment toolkit provides two ways of measuring transport connectivity:
    o	PTAL assesses connectivity (level of access) to the transport network, combining walk time to the public transport network with service wait times
    o	Time Mapping analysis (TIM) assesses connectivity through the transport network or, in other words, how far a traveller can go expressed as a series of travel time catchments
•	The report [“Assessing transport connectivity in London”](https://content.tfl.gov.uk/connectivity-assessment-guide.pdf) provides a user-friendly background to London’s approach, and details of how PTAL and TIM are calculated.
•	[Transport for NSW’s propensity to cycle report](https://opendata.transport.nsw.gov.au/dataset/cycling-propensity)
•	Transport for NSW - [Travel Choices](https://www.mysydney.nsw.gov.au/travel-choices)
•	City of Sydney - [Travel planning guidelines](https://www.cityofsydney.nsw.gov.au/development-guidelines-policies/travel-planning-guidelines)

**Image credit:** Aerial view of a city at night, photo by [Jeremy Bishop](https://unsplash.com/photos/KFIjzXYg1RM) on [Unsplash](https://unsplash.com/)

","","",2021-08-19 01:19:18 +1000,2021-08-20 15:30:54 +1000,"[""NSW Department of Planning, Industry and Environment""]",4
International,2021,264,Hack for a Circular Economy,"In order to build a more sustainable community, how might we redesign, rethink, repair and repurpose spaces, places, materials, and digital infrastructure, systems and policies within cities in order to progress social, natural and economic development? ","Building a Circular Economy in our communities across Australia & New Zealand is essential to make our cities and regions more sustainable and digital technology will play an important role along this journey.

According to the United Nations 55% of the global population lives in urban areas and is expected to rise to 68% by 2050 (UN DESA, 2020). This density of population has a significant impact on global waste as cities are responsible for consuming 75% of the world’s natural resources. Hence, we need to build cities that are more sustainable and leveraging the approach of a Circular Economy can help address this challenge. We need to redesign, rethink, repair and repurpose the resources that contribute to a very significant i.e., 50% of global waste (Circular Cities, 2020) within our cities.  

Before you begin working on this challenge it’s important to understand “What a Circular Economy is?” The Ellen MacArthur Foundation defines Circular Economy being a systemic approach to economic development designed to benefit businesses, society, and the environment. In contrast to the ‘take-make-waste’ linear model, a circular economy is regenerative by design and aims to gradually decouple growth from the consumption of finite resources. To understand the Circular Economy better you could visit this [page](https://archive.ellenmacarthurfoundation.org/explore/the-circular-economy-in-detail). 

While working on this challenge, participants are expected to reimagine the existing systems within cities; including buildings, spaces, mobility and transport systems, among other infrastructure and propose new solutions underpinned by circular economy principles. To make your idea part of the global agenda, consider the [United Nations Sustainable Development Goals](https://sdgs.un.org/goals). 

Circular economy principles which aim to eliminate waste have the potential to contribute to more sustainable cities. A system that reduces waste, activates space, and promotes positive social and economic change. As part of this challenge participants are expected to develop solutions that leverage digital technology to bring the idea of a circular economy to life. 

The areas participants would need to evaluate include:

•        Emissions
•        Water 
•        Waste
•        Energy 

### Additional Information:

**Additional links:**

•       Understanding a Circular economy: https://archive.ellenmacarthurfoundation.org/circular-economy/what-is-the-circular-economy

**Image credit:** Infosys",Must use at least one open dataset.,"",2021-08-20 12:12:48 +1000,2021-08-20 12:14:38 +1000,"[""Infosys""]",15
International,2021,261,Health and wellbeing of autistic people during a pandemic,"The COVID-19 pandemic has negatively impacted the mental health of people all around the world. Studies suggest that there is likely to be a much greater impact for people with autism spectrum disorder, as the pandemic directly affects social functioning and everyday routines.","In this challenge, we would like you to consider the following questions:

How has the pandemic impacted people with autism spectrum disorder?

How can data be used to improve the quality of life for autistic people during the pandemic? 

At least one open data set must be utilised, and teams are encouraged to find diverse datasets for their project.

Consider the impacts to education - home schooling, technology, social life, routines, support resources.

Consider the impacts to employment - working from home, unemployment, inclusion, equal opportunities.

Consider the impacts to community participation - lockdown, social, rules and restrictions.

Consider access to pandemic-related information.
",At least one open dataset must be utilised.,"",2021-08-19 22:04:07 +1000,2021-08-20 19:10:28 +1000,"[""GovHack Australia Limited""]",10
New Zealand,2021,280,Helping Business understand the value of an online presence,Making relevant data and information available could help businesses make decisions about investing in digital and having an online presence such as a website or using digital tools to improve their business.,Only 43% of businesses in New Zealand were reported as having an online presence in December 2020 by Better for Business; 46% reported wanting to make greater use of digital tools. Making relevant data and information available could help businesses make decisions about investing in digital and having an online presence such as a website or using digital tools to improve their business. (https://www.mbie.govt.nz/dmsdocument/12274-nz-business-digital-landscape-december-2020).  ,"","",2021-08-20 15:21:26 +1000,2021-08-20 15:37:14 +1000,"[""Proaxiom""]",1
Western Australia,2021,241,How would you improve online services in WA?,How would you improve online services in WA?,"On 21 July 2021, the McGowan Government announced they are expanding its red-tape reduction team as part of a record $120 million investment to streamline Western Australia's approvals system and get billions of dollars' worth of capital projects underway.

“There is plenty of room to improve regulation to make it more transparent, predictable, seamless and efficient, and ensure the community has high confidence in it.” 

Citizens and businesses have high expectations when accessing government services digitally. 

### Additional Information:

Digital technology is changing the way governments everywhere support their citizens. Digital innovation provides the WA Government with the opportunity to stimulate economic growth and allow Western Australian people, businesses and communities to thrive.

Innovation and ICT Minister Don Punch launched the new Digital Strategy for the Western Australian Government 2021-2025: Convenient, smart and secure services for all Western Australians.

The Digital Strategy will drive better service delivery by integrating and streamlining government services and regulatory processes. Government operations will be reoriented around the needs of people and businesses - rather than the structures of government.

Government decisions and services should be informed by data. The Digital Strategy will build whole-of-government data and analytics capabilities for new insights into WA's most complex social, health, environmental and economic issues.

The Digital Strategy for the Western Australian Government 2021-2025 (the Digital Strategy) aims to change the way our community interacts with government. It puts Western Australian people, businesses and communities at its centre and sets the vision for a government that provides convenient and secure online services informed by quality data insights. It also recognises that as government delivers more services online and better leverages data to inform its operations, excellent cyber security capabilities are more important than ever.


**Useful links:**

• https://www.wa.gov.au/organisation/department-of-the-premier-and-cabinet/digital-strategy-the-western-australian-government-2021-2025
• https://www.mediastatements.wa.gov.au/Pages/McGowan/2021/06/Western-Australias-bold-new-whole-of-government-Digital-Strategy-launched.aspx
• https://www.mediastatements.wa.gov.au/Pages/McGowan/2021/07/Red-tape-reduction-team-part-of-120m-dollar-investment-for-WA-projects.aspx

**Image credit:** Kel Henderson","","",2021-08-18 23:59:00 +1000,2021-08-20 01:41:59 +1000,"[""Two21""]",4
Queensland,2021,266,Immigration,Queensland’s historical immigration open data is hugely popular. What insights can we gain from this and other related open data?,"Most users of this data are interested in specific records to learn about their ancestry. Are there other interesting stories to be told more broadly within or across the dataset/s?

Can we compare or contrast this historical data with more modern open data relating to populations or international migration? 

Here are some datasets to start with - https://www.data.qld.gov.au/dataset?q=immigration 

### Additional Information:

**Additional links:**
• [data.qld.gov.au](https://www.data.qld.gov.au/)
• https://www.data.qld.gov.au/article/news-and-events/govhack-2021
",Must use at least one dataset from data.qld.gov.au.  ,"",2021-08-20 12:36:30 +1000,2021-08-20 12:40:52 +1000,"[""Queensland Government""]",3
Australia,2021,255,IoT insights for better regional agribusiness at scale,"How might we harness open data and IoT insights in near-real-time to enable local agribusiness and farms in our regions be more productive and sustainable at scale?

How can we share private IoT data and regional open data for an overall more productive and sustainable agribusiness?
","With the increased prevalence of droughts, natural disasters, harmful pests, and climate change, it has never been more important to innovate for sustainable and resilient farming practices.  Environmentally friendly techniques and technology are the key to meeting the food demand with right nutrition for consumers. 

Using IoT data, design and develop a solution that improves farming practices and increase yield in a sustainable way ( i.e., reducing carbon footprint, leveraging scarce water, minimal pesticide usage) . The solution should empower farmers to make informed and timely decisions on how to grow, manage and sustain farm produce and the environment with minimal effort.

The “Internet of Things” refers to the billions of devices and sensors connected to the internet that can send and receive data. These devices could be smart lights, temperature monitors, water meters, cow trackers, security cameras, tractors, glasses, soil PH monitors, fences, anything you can thing of! Those devices generate an incredible amount of data.  That data may be useful to the owner of the device, AND if combined with other data points it could drive big data insights to our agribusinesses. 

There are many ways for IoT devices can connect to the internet. You could connect them with internet cables, or connect over Wi-Fi, Bluetooth, Sigfox, and several other local networks. But arguably the easiest and fastest way to connect to the internet is by putting a SIM in those devices, so it can connect straight to the 3G/4G/5G network without you having to set up cables or configure passwords. This is ‘cellular’ IoT. 

At Telstra, we have 2 incredible cellular IoT technologies that are “Low Power Wide Area Networks” (LPWAN): NB-IoT and Cat-M1. With lower power required to connect, LPWAN IoT devices have a longer battery life. For rural deployments, this means less time spent going out to remote areas for battery changes, and in urban dense areas it means less disruption digging up underground sensors. Cellular IoT also allows rapid deployment, with minimal change to existing infrastructure; no dodgy wi-fi connections or cables, just set and forget!

In agriculture, IoT has been used to understand hyper-local weather rainfall and sunshine levels to help farmers plan harvesting times, or in tracking cattle location and temperature to protect their livestock, or alerting land owners when the water tanks on their remote farm are running dry so they can trigger a water pump to top it up. 

We can use granular data points from the live agriculture systems to visualise and automate these systems in real time, but we can also use historical data from the IoT sensors paired with open data to create long-term changes to the fundamental systems.  

How can we enable agribusiness to use enhance precision farming with minimal water and energy wastage and reduced pesticide application?

How can we give land owners and farmers in agribusiness the insights they need to change the way they produce sustainably?

Don’t limit it to the single farmer, or the single paddock, think big! 

### Additional Information:

**Challenge explainer video:**

•	https://www.youtube.com/watch?v=pmdpr9kW-Ss

**Technology to highlight:**

•	Telstra’s Low Power Wide Area Network Internet of Things technology, IoT connected devices with cellular IoT SIMs: https://www.telstra.com.au/business-enterprise/products/internet-of-things/capabilities/iot-network 

**Useful links:**

•	Quick explainer of IoT in agriculture: https://youtu.be/pOLAIVUs9S8
•	Capabilities of the Telstra IoT Network: https://www.telstra.com.au/business-enterprise/products/internet-of-things/capabilities/iot-network
•	Purchase IoT Devices and Connectivity on TelstraDev: https://dev.telstra.com/iot-marketplace/arduino-mkr-nb-1500 
•	Examples of devices on the cellular LPWAN IoT network for environmental monitoring: https://www.telstra.com.au/business-enterprise/products/internet-of-things/solutions/environment-monitoring 
•	Agritech AusIoT meetup group recording: https://www.youtube.com/watch?v=dq2-hMiUofo&ab_channel=AusIOT 

**Judging criteria:**

•	Must show how the solution proposes to use Internet of Things devices/sensors
•	Must demonstrate how the data collected from these sensors can be used to create a positive outcome for agribusiness
•	(Recommend) Combines the IoT data set collected from IoT sensors with open data set
•	(Recommended) Can describe the selection of network for the IoT devices/sensors. E.g Telstra NB-IoT, Wi-Fi, Satellite etc.
•	(Optional) Utilise Microsoft Azure. Credits available from Microsoft in the #talk-microsoft Slack channel
•	Note: does NOT need to include a working prototype, just a plan. If you do want to make a working prototype, reach out in the #talk-telstra Slack channel to get a Telstra IoT starter kit: https://dev.telstra.com/iot-marketplace/arduino-mkr-nb-1500 

**Image credit:** [AlkeMade](https://pixabay.com/users/alkemade-804941/) on [Pixabay](https://pixabay.com/photos/tractor-water-agricultural-vehicle-5096167/)

","",https://www.youtube.com/embed/pmdpr9kW-Ss,2021-08-19 14:10:04 +1000,2021-08-20 01:48:22 +1000,"[""Telstra Dev""]",13
Queensland,2021,252,Jobs and Growth for Moreton Bay (QLD),"How can we create a prosperous future for our youth?
","Using Open Data from a variety of sources, help us create jobs and economic growth across our region. Ideas and examples could include using IoT data to understand how Council facilities are used, and what influences usage for parks and pathways, how might knowing this help local businesses in the area through to new technologies and business ideas for the future.  All ideas welcome, and remember to focus on our region!

This is one of three Moreton Bay specific challenges put together by a consortium of business, education and government organisations, all passionate about our local region.  We will have a group of USC Moreton Bay students participating on campus at Petrie Mill alongside local innovators, and we encourage you to join with them in putting a spotlight on our region.

### Additional Information:

**Additional links:**
• www.moretonbay.qld.gov.au/REDS
• https://datahub.moretonbay.qld.gov.au
","Open to everyone, preference will be given to those providing solutions using at least one local Moreton Bay data set.","",2021-08-19 13:59:46 +1000,2021-08-20 01:03:40 +1000,"[""Moreton Bay Regional Council""]",10
International,2021,237,Living in a post-pandemic world,"How can we use real-time data to assist with the preparation and ongoing management of living with Covid-19 as we progress towards a post-pandemic Australia and New Zealand?
","More than a year and a half into the coronavirus pandemic, the world’s nations are now coming to accept that Covid-19 is not going away. With vaccination rates increasing, the number of hospitalisations and deaths from the virus are beginning to come under control. Plans are beginning to be made to progressively re-open the world.

The Australian National University has collated and normalised Covid management data from across Australia through CRISPER (see below for details on CRISPER). This includes up-to-date listings of all Covid hotspot locations. This data has been made available within Confluent Cloud to assist with the challenge.

How can we use real-time data to assist with the preparation and ongoing management of living with Covid-19 as we progress to post-pandemic Australia?

### Additional Information:

**CRISPER is a collaborative project between:**

• ANU Research School of Population Health;
• ANU Software Innovation Institute;
• ANU GRAPHC;
• UQ School of Public Health

**Relevant links:**

• Company website: https://confluent.io
• Developer information: https://developer.confluent.io
• Confluent documentation: https://docs.confluent.io
• Getting started guides: https://www.confluent.io/get-started-v1

**Image credit:** Photo owned by a Confluent team member.",Contestants should use Confluent as part of their solution and the CRISPER dataset as part of their solution.,"",2021-08-18 23:47:19 +1000,2021-08-20 22:16:45 +1000,"[""Confluent""]",13
New Zealand,2021,277, Making Reaching Out Easier ," Sometimes when you are down or not feeling 100% mentally, reaching out for help can be a bit daunting and overwhelming. Using open data, how you can make the Support Systems currently available to people more accessible, user friendly, understandable and easy to access.
","","","",2021-08-20 15:07:45 +1000,2021-08-20 15:38:00 +1000,"[""Whanganui District Emergency Management""]",5
Victoria,2021,244,Managing Our Water Resources,"Can water data help us understand and better manage our water resources and environment?
","Integrated water management requires a collaborative approach to planning that brings together organisations that influence all elements of the water cycle, including waterways and bays, wastewater management, alternative and potable water supply, stormwater management and water treatment. It considers environment, social and economic benefits.

How can communities influence water cycle management in the setting of service levels and place-based outcomes?

### Additional Information:

**Additional links:**
• https://www.data.vic.gov.au/",Participants must use one or more datasets from Data.Vic.,"",2021-08-19 00:08:56 +1000,2021-08-20 01:24:54 +1000,"[""Department of Premier and Cabinet, Victoria""]",7
South Australia,2021,272,Meeting the needs of vulnerable Australians during a global pandemic,How can data help us better understand and meet the needs of vulnerable Australians such as older Australians and Australians with a disability as we navigate through the complexities of a global pandemic?,"The recent Royal Commission into Aged Care Quality and Safety has shown that there are major deficiencies in the care system including difficulty entering and navigating the system, substandard care, and difficulty accessing healthcare and disability services. 

Adding to this challenge, the covid-19 pandemic has resulted in additional complexities for vulnerable Australians – for example, the shift towards fully digital services, lockdowns disrupting routines such as face-to-face healthcare visits and general isolation. Without the right support processes in place, it can mean that older Australians and those with a disability are not receiving the right level of care.

Create a solution that helps to address these issues in order netter meet the needs of vulnerable Australians.
",Must use at least one open dataset.,"",2021-08-20 14:28:40 +1000,2021-08-20 14:28:40 +1000,"[""GovHack Australia Limited""]",7
